Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas
Software Engineering,Full-Stack Developer Junior,0-2,"Desarrollo frontend y backend básico, API simples, bases de datos básicas, arquitectura cliente-servidor, frameworks básicos, versionado de código"
Software Engineering,Full-Stack Developer Mid-level,2-4,"Desarrollo completo de aplicaciones, arquitectura MVC, API RESTful, optimización básica, seguridad web, testing, implementación de CI/CD"
Software Engineering,Full-Stack Developer Senior,4-7,"Arquitectura de aplicaciones end-to-end, optimización avanzada, escalabilidad, seguridad avanzada, mentorización, liderazgo técnico, diseño de sistemas"
Software Engineering,Full-Stack Tech Lead,7-10,"Liderazgo técnico de equipo full-stack, arquitectura de soluciones completas, definición de estándares, revisión de código, planificación técnica"
Software Engineering,Full-Stack Architect,8-12,"Diseño de arquitecturas completas, estrategias de integración, ecosistemas tecnológicos, patrones arquitectónicos avanzados, governance técnico"
Software Engineering,Principal Full-Stack Engineer,10-15,"Liderazgo de múltiples equipos full-stack, decisiones arquitectónicas estratégicas, consultoría interna, innovación tecnológica, mentorización"
Software Engineering,Full-Stack Director,12-18,"Dirección de desarrollo de producto, estrategia tecnológica end-to-end, roadmap técnico, gestión presupuestaria, gobierno técnico"
Software Engineering,VP of Product Engineering,15+,"Visión estratégica global de producto, arquitectura empresarial, transformación digital, liderazgo ejecutivo, innovación disruptiva"

# Software Engineering - DevOps Engineer
Software Engineering,DevOps Trainee,0-1,"Fundamentos de sistemas, bash básico, git, conceptos de CI/CD, introducción a la nube, conceptos básicos de redes, virtualización básica"
Software Engineering,DevOps Engineer Junior,0-2,"Automatización básica, CI/CD básico, contenedores (Docker), monitorización básica, scripts de despliegue, operaciones básicas en la nube"
Software Engineering,DevOps Engineer Mid-level,2-4,"CI/CD avanzado, IaC, Kubernetes básico, automatización de infraestructura, monitorización integral, gestión de logs, optimización de despliegues"
Software Engineering,DevOps Engineer Senior,4-7,"Arquitecturas cloud nativas, estrategias de escalabilidad, alta disponibilidad, seguridad en la nube, optimización de costes, mentorización, liderazgo técnico"
Software Engineering,DevOps Tech Lead,7-10,"Liderazgo técnico de equipo DevOps, diseño de plataformas, definición de procesos CI/CD/CT, infraestructura como código avanzada, estrategias de fiabilidad"
Software Engineering,DevOps Architect,8-12,"Diseño de arquitecturas cloud/híbridas complejas, estrategias multi-cloud, disaster recovery, automatización end-to-end, governance técnico"
Software Engineering,Principal DevOps Engineer,10-15,"Liderazgo de plataformas de ingeniería, estrategia tecnológica, transformación DevOps, consultoría interna, innovación en operaciones, mentorización"
Software Engineering,DevOps Director,12-18,"Dirección de plataformas e infraestructura, estrategia cloud/SRE, roadmap técnico, gestión presupuestaria, gobierno técnico, representación ejecutiva"
Software Engineering,VP of Infrastructure & Operations,15+,"Visión estratégica global de infraestructura, arquitectura empresarial, transformación operacional, liderazgo ejecutivo, innovación disruptiva"

# Software Engineering - Mobile Developer
Software Engineering,Mobile Developer Trainee,0-1,"Fundamentos de desarrollo móvil, UI básica, introducción a frameworks móviles, conceptos básicos de iOS/Android, primeros pasos con API nativas"
Software Engineering,Mobile Developer Junior,0-2,"Desarrollo de aplicaciones móviles básicas, UI/UX móvil, consumo de APIs, implementación de funcionalidades sencillas, manejo de recursos, implementación de vistas"
Software Engineering,Mobile Developer Mid-level,2-4,"Desarrollo móvil nativo avanzado, arquitecturas móviles (MVC, MVVM), rendimiento en dispositivos, almacenamiento local, notificaciones push, integración de SDKs"
Software Engineering,Mobile Developer Senior,4-7,"Arquitectura de aplicaciones móviles complejas, optimización avanzada, patrones avanzados, seguridad móvil, mentorización, distribución en tiendas, analytics"
Software Engineering,Mobile Tech Lead,7-10,"Liderazgo técnico de equipo móvil, arquitectura multi-plataforma, estrategias de testing, planificación de versiones, revisión de código, planificación técnica"
Software Engineering,Mobile Architect,8-12,"Diseño de arquitecturas móviles empresariales, estrategias multi-dispositivo, ecosistemas móviles, patrones arquitectónicos avanzados, governance técnico"
Software Engineering,Principal Mobile Engineer,10-15,"Liderazgo de plataformas móviles, decisión de stack tecnológico, estrategia multi-plataforma, consultoría interna, innovación móvil, mentorización"
Software Engineering,Mobile Director,12-18,"Dirección de desarrollo móvil, estrategia móvil corporativa, roadmap tecnológico, gestión presupuestaria, gobierno técnico, representación ejecutiva"
Software Engineering,VP of Mobile Engineering,15+,"Visión estratégica global de movilidad, ecosistemas móviles empresariales, transformación digital móvil, liderazgo ejecutivo, innovación disruptiva"

# Software Engineering - QA Engineer
Software Engineering,QA Trainee,0-1,"Testing manual básico, conceptos fundamentales de QA, documentación de bugs, uso de herramientas básicas de testing, testing exploratorio básico"
Software Engineering,QA Engineer Junior,0-2,"Testing manual, diseño de casos de prueba básicos, seguimiento de defectos, herramientas de QA, testing exploratorio, pruebas de regresión básicas"
Software Engineering,QA Engineer Mid-level,2-4,"Automatización de pruebas básica, estrategias de testing, análisis de calidad, testing end-to-end, pruebas de rendimiento básicas, CI/CD para QA"
Software Engineering,QA Engineer Senior,4-7,"Arquitectura de testing, estrategias avanzadas de QA, automatización avanzada, testing de seguridad, mentorización, análisis de riesgo, métricas de calidad"
Software Engineering,QA Tech Lead,7-10,"Liderazgo técnico de equipo QA, arquitectura de testing, estrategias de automatización, planificación de pruebas, definición de procesos de calidad"
Software Engineering,QA Architect,8-12,"Diseño de estrategias de quality assurance, testing en sistemas complejos, frameworks de testing empresariales, garantia de calidad continua"
Software Engineering,Principal QA Engineer,10-15,"Liderazgo de quality assurance, transformación de procesos de testing, consultoría interna de calidad, innovación en testing, mentorización de equipos"
Software Engineering,QA Director,12-18,"Dirección de quality assurance, estrategia de calidad corporativa, roadmap de testing, gestión presupuestaria, representación ejecutiva"
Software Engineering,VP of Quality Engineering,15+,"Visión estratégica global de calidad, transformación de calidad a nivel empresarial, liderazgo ejecutivo, innovación disruptiva en testing"

# Software Engineering - Security Engineer
Software Engineering,Security Engineer Trainee,0-1,"Fundamentos de seguridad informática, conceptos básicos de criptografía, seguridad en redes básica, vulnerabilidades comunes, herramientas básicas"
Software Engineering,Security Engineer Junior,0-2,"Análisis de vulnerabilidades básico, implementación de controles de seguridad, documentación de políticas, monitoreo de seguridad básico, pentesting básico"
Software Engineering,Security Engineer Mid-level,2-4,"Pentesting avanzado, seguridad en aplicaciones web, análisis de código por vulnerabilidades, criptografía aplicada, securización de sistemas"
Software Engineering,Security Engineer Senior,4-7,"Arquitectura de seguridad, evaluación de riesgos, respuesta a incidentes, seguridad en la nube, DevSecOps, cumplimiento normativo, auditorías de seguridad"
Software Engineering,Security Tech Lead,7-10,"Liderazgo técnico de equipo de seguridad, arquitectura de seguridad corporativa, estrategias de defensa en profundidad, gestión de vulnerabilidades"
Software Engineering,Security Architect,8-12,"Diseño de arquitecturas de seguridad empresariales, estrategias de protección de datos, modelos de amenazas avanzados, frameworks de seguridad"
Software Engineering,Principal Security Engineer,10-15,"Liderazgo de seguridad informática, estrategia de ciberseguridad, consultoría interna, innovación en seguridad, mentorización de equipos"
Software Engineering,Security Director,12-18,"Dirección de seguridad informática, estrategia de seguridad corporativa, gestión de equipos, presupuestos, gobierno de seguridad, relación con reguladores"
Software Engineering,CISO/VP of Security,15+,"Liderazgo ejecutivo de seguridad, estrategia de ciberseguridad a nivel empresarial, gestión de riesgos corporativos, liderazgo en crisis, regulación"

# Software Engineering - Data Engineer
Software Engineering,Data Engineer Trainee,0-1,"Fundamentos de ingeniería de datos, SQL básico, ETL básico, conceptos de bases de datos, herramientas básicas de procesamiento de datos"
Software Engineering,Data Engineer Junior,0-2,"Desarrollo de pipelines básicos, ETL, SQL avanzado, bases de datos relacionales, herramientas de procesamiento, scripts de automatización básicos"
Software Engineering,Data Engineer Mid-level,2-4,"Pipelines de datos complejos, bases de datos NoSQL, procesamiento distribuido básico, optimización de consultas, integración de fuentes de datos"
Software Engineering,Data Engineer Senior,4-7,"Arquitectura de datos, sistemas distribuidos, big data, streaming, optimización de rendimiento, data governance, diseño de data warehouses"
Software Engineering,Data Tech Lead,7-10,"Liderazgo técnico de equipo de datos, arquitectura de plataformas de datos, estrategias de procesamiento, definición de estándares de ingeniería"
Software Engineering,Data Architect,8-12,"Diseño de arquitecturas de datos empresariales, estrategias de escalabilidad, modelado avanzado, ecosistemas de datos, data governance"
Software Engineering,Principal Data Engineer,10-15,"Liderazgo de plataformas de datos, estrategia tecnológica, consultoría interna, innovación en ingeniería de datos, mentorización de equipos"
Software Engineering,Data Engineering Director,12-18,"Dirección de ingeniería de datos, estrategia de datos corporativa, roadmap técnico, gestión presupuestaria, gobierno de datos"
Software Engineering,VP of Data Engineering,15+,"Visión estratégica global de datos, arquitectura de datos empresarial, transformación digital basada en datos, liderazgo ejecutivo"

# Software Engineering - SRE (Site Reliability Engineer)
Software Engineering,SRE Trainee,0-1,"Fundamentos de fiabilidad, conceptos de monitoreo, comandos básicos de operaciones, introducción a Linux, conceptos de respuesta a incidentes"
Software Engineering,SRE Junior,0-2,"Monitoreo básico de sistemas, respuesta a incidentes simples, automatización básica, documentación de procesos, on-call rotations, troubleshooting"
Software Engineering,SRE Mid-level,2-4,"Diseño de sistemas de monitoreo, análisis de rendimiento, automatización avanzada, SLIs/SLOs, respuesta a incidentes complejos, mejora de sistemas"
Software Engineering,SRE Senior,4-7,"Arquitectura de observabilidad, estrategia de resiliencia, gestión de chaos engineering, cultura de fiabilidad, mentorización, sistemas distribuidos"
Software Engineering,SRE Tech Lead,7-10,"Liderazgo técnico de equipos SRE, arquitectura de plataformas de observabilidad, estrategias de escalabilidad, planificación de capacidad"
Software Engineering,SRE Architect,8-12,"Diseño de arquitecturas de alta disponibilidad, estrategias globales de SRE, frameworks de observabilidad, modelos de fiabilidad complejos"
Software Engineering,Principal SRE,10-15,"Liderazgo de plataformas de fiabilidad, estrategia de SRE corporativa, consultoría interna, innovación en resiliencia, mentorización"
Software Engineering,SRE Director,12-18,"Dirección de SRE, estrategia de fiabilidad corporativa, roadmap técnico, gestión presupuestaria, gobierno de sistemas, continuidad negocio"
Software Engineering,VP of Reliability Engineering,15+,"Visión estratégica global de fiabilidad, arquitectura empresarial resiliente, transformación de fiabilidad, liderazgo ejecutivo"

# Software Engineering - Cloud Engineer
Software Engineering,Cloud Engineer Trainee,0-1,"Fundamentos de cloud computing, conceptos básicos de IaaS/PaaS/SaaS, introducción a proveedores cloud (AWS, Azure, GCP), conceptos básicos de networking"
Software Engineering,Cloud Engineer Junior,0-2,"Implementación básica de servicios cloud, configuración de recursos, scripting básico, migración simple a la nube, seguridad básica en cloud"
Software Engineering,Cloud Engineer Mid-level,2-5,"Arquitecturas cloud complejas, IaC, automatización de despliegues, optimización de costes, multi-cloud básico, servicios gestionados avanzados"
Software Engineering,Cloud Engineer Senior,5-8,"Diseño de arquitecturas cloud nativas, estrategias de escalabilidad, arquitecturas serverless, multi-cloud avanzado, seguridad en la nube avanzada"
Software Engineering,Cloud Tech Lead,7-10,"Liderazgo técnico de equipos cloud, arquitectura de plataformas cloud, estrategias de migración, definición de patrones, FinOps"
Software Engineering,Cloud Architect,8-12,"Diseño de arquitecturas cloud empresariales, estrategias multi-región/multi-cloud, frameworks cloud, gobierno cloud, landing zones"
Software Engineering,Principal Cloud Engineer,10-15,"Liderazgo de plataformas cloud, estrategia cloud corporativa, innovación en servicios cloud, mentorización de equipos, consultoría interna"
Software Engineering,Cloud Director,12-18,"Dirección de tecnología cloud, estrategia cloud corporativa, roadmap técnico, gestión presupuestaria, gobierno multi-cloud"
Software Engineering,VP of Cloud Engineering,15+,"Visión estratégica global cloud, transformación digital basada en cloud, liderazgo ejecutivo, innovación disruptiva cloud"

# Software Engineering - Software Architect
Software Engineering,Associate Architect,0-3,"Principios básicos de arquitectura, patrones de diseño, documentación arquitectónica, apoyo en decisiones técnicas, análisis de requisitos técnicos"
Software Engineering,Software Architect Junior,3-5,"Diseño de componentes, implementación de patrones de diseño, documentación técnica, evaluación de tecnologías, implementación de mejores prácticas"
Software Engineering,Software Architect Mid-level,5-8,"Diseño de arquitecturas escalables, evaluación de frameworks, decisiones técnicas, implementación de estándares, mentorización técnica"
Software Engineering,Software Architect Senior,8-12,"Arquitectura de sistemas complejos, decisiones estratégicas tecnológicas, gobierno tecnológico, comunicación ejecutiva, evaluación de impacto"
Software Engineering,Lead Software Architect,10-15,"Liderazgo de equipos de arquitectura, arquitectura empresarial por dominios, estrategias tecnológicas, coordinación cross-funcional"
Software Engineering,Enterprise Architect,12-18,"Arquitectura empresarial completa, estrategia tecnológica corporativa, roadmaps técnicos, alineación negocio-tecnología, transformación digital"
Software Engineering,Chief Architect,15+,"Liderazgo de arquitectura corporativa, visión tecnológica global, transformación digital, innovación disruptiva, decisiones estratégicas"

# Software Engineering - Database Administrator (DBA)
Software Engineering,DBA Trainee,0-1,"Fundamentos de bases de datos, SQL básico, instalación y configuración básica, conceptos de respaldo y recuperación, monitoreo básico"
Software Engineering,DBA Junior,0-2,"Administración básica de BD, scripts SQL, backups/restores, monitoreo, troubleshooting simple, instalación y configuración"
Software Engineering,DBA Mid-level,2-5,"Optimización de consultas, diseño de esquemas, replicación, particionamiento, seguridad de datos, monitoreo avanzado, tuning de rendimiento"
Software Engineering,DBA Senior,5-8,"Arquitectura de BD complejas, alta disponibilidad, disaster recovery, sharding, migraciones complejas, auditoría, troubleshooting avanzado"
Software Engineering,Lead DBA,7-10,"Liderazgo técnico de equipo DBA, arquitectura de plataformas de datos, estrategias de escalabilidad, planificación de capacidad"
Software Engineering,Database Architect,8-12,"Diseño de arquitecturas de BD empresariales, estrategias multi-plataforma, consolidación de datos, modelado de datos avanzado"
Software Engineering,Principal DBA,10-15,"Liderazgo de plataformas de BD, estrategia de datos, consultoría interna, innovación en BD, mentorización de equipos"
Software Engineering,Database Director,12-18,"Dirección de plataformas de datos, estrategia de BD corporativa, roadmap técnico, gestión presupuestaria, gobierno de datos"
Software Engineering,VP of Database Engineering,15+,"Visión estratégica global de datos, arquitectura empresarial de BD, transformación digital basada en datos, liderazgo ejecutivo"

# Software Engineering - Game Developer
Software Engineering,Game Developer Trainee,0-1,"Fundamentos de desarrollo de juegos, introducción a motores (Unity/Unreal), programación básica de juegos, conceptos básicos de gráficos y física"
Software Engineering,Game Developer Junior,0-2,"Implementación de mecánicas simples, uso básico de motores de juegos, programación de lógica básica, integración de assets, testing de juegos"
Software Engineering,Game Developer Mid-level,2-6,"Programación de mecánicas complejas, optimización básica, integración con motores gráficos, implementación de físicas, IA básica para juegos"
Software Engineering,Game Developer Senior,6-10,"Arquitectura de juegos complejos, optimización avanzada, shaders avanzados, IA para juegos, sistemas de juego multiplataforma, networking"
Software Engineering,Game Tech Lead,8-12,"Liderazgo técnico de equipos de juegos, arquitectura de juegos, estrategias de desarrollo, optimización multiplataforma, mentorización"
Software Engineering,Game Engine Architect,10-15,"Diseño de motores de juego, sistemas de renderizado avanzados, arquitectura de sistemas complejos, optimización a bajo nivel"
Software Engineering,Principal Game Engineer,12-18,"Liderazgo de tecnología de juegos, innovación en desarrollo de juegos, mentorización de equipos, arquitectura avanzada de juegos"
Software Engineering,Game Technology Director,15+,"Dirección de tecnología de juegos, estrategia tecnológica, roadmap de desarrollo, gestión presupuestaria, representación ejecutiva"

# Software Engineering - Engineering Manager
Software Engineering,Team Lead,4-7,"Liderazgo técnico de equipo pequeño, supervisión técnica, mentorización, planificación de sprints, revisión de código, alineación con producto"
Software Engineering,Engineering Manager Junior,5-8,"Gestión de equipos de desarrollo, coaching técnico, evaluación de desempeño, planificación táctica, procesos de equipo, comunicación técnica-negocio"
Software Engineering,Engineering Manager Mid-level,7-10,"Gestión de equipos cross-funcionales, definición de procesos, planificación de capacidad, mejora continua, desarrollo de carrera, gestión de stakeholders"
Software Engineering,Engineering Manager Senior,9-12,"Liderazgo de múltiples equipos, estrategia técnica departamental, definición de OKRs, staffing, métricas de rendimiento, proyectos complejos"
Software Engineering,Director of Engineering,10-15,"Dirección de departamento de desarrollo, estrategia técnica, gestión de presupuestos, roadmap tecnológico, gestión de managers"
Software Engineering,VP of Engineering,15+,"Liderazgo ejecutivo de ingeniería, visión estratégica, transformación tecnológica, desarrollo de organización, gestión presupuestaria global"
Software Engineering,CTO,15+,"Liderazgo tecnológico ejecutivo, estrategia y visión tecnológica empresarial, innovación disruptiva, liderazgo ejecutivo, transformación digital"

# Software Engineering - Infrastructure Engineer
Software Engineering,Infrastructure Engineer Trainee,0-1,"Fundamentos de infraestructura, comandos básicos de sistemas, soporte técnico, conceptos de networking, monitoreo básico, seguridad básica"
Software Engineering,Infrastructure Engineer Junior,0-2,"Administración de servidores básica, despliegue de servicios, scripting básico, configuración de redes, gestión de incidentes simples"
Software Engineering,Infrastructure Engineer Mid-level,2-4,"Diseño de infraestructura, automatización, configuración avanzada, gestión de entornos, troubleshooting avanzado, integración de sistemas"
Software Engineering,Infrastructure Engineer Senior,4-7,"Arquitectura de infraestructura, alta disponibilidad, escalabilidad, seguridad avanzada, optimización de rendimiento, disaster recovery"
Software Engineering,Infrastructure Lead,7-10,"Liderazgo de equipos de infraestructura, estrategia cloud/on-prem, planificación de capacidad, definición de estándares, roadmap técnico"
Software Engineering,Infrastructure Architect,8-12,"Diseño de infraestructuras empresariales, estrategias multi-región, frameworks de seguridad y cumplimiento, arquitecturas híbridas"
Software Engineering,Principal Infrastructure Engineer,10-15,"Liderazgo de plataformas de infraestructura, innovación en infraestructura, consultoría interna, estrategia de operaciones, mentorización"
Software Engineering,Infrastructure Director,12-18,"Dirección de infraestructura, estrategia global, gestión presupuestaria, gobierno de infraestructura, continuidad de negocio"

# Software Engineering - SysAdmin
Software Engineering,SysAdmin Trainee,0-1,"Fundamentos de administración de sistemas, comandos Linux/Windows básicos, instalación y configuración básica, troubleshooting simple"
Software Engineering,SysAdmin Junior,0-2,"Administración básica de sistemas operativos, configuración de servidores, scripts básicos, gestión de usuarios, backups, monitoreo básico"
Software Engineering,SysAdmin Mid-level,2-4,"Automatización de tareas, administración avanzada de sistemas, configuración de servicios complejos, troubleshooting avanzado, scripting"
Software Engineering,SysAdmin Senior,4-7,"Diseño de arquitecturas de sistemas, alta disponibilidad, estrategias de respaldo y recuperación, seguridad avanzada, mentorización"
Software Engineering,Lead SysAdmin,7-10,"Liderazgo de equipos de administración, estrategias de operaciones, definición de estándares, optimización de procesos, planificación"
Software Engineering,Systems Architect,8-12,"Arquitectura de sistemas empresariales, estrategias de consolidación, virtualización avanzada, sistemas críticos, governance técnico"
Software Engineering,Principal SysAdmin,10-15,"Liderazgo de operaciones de sistemas, innovación en administración, consultoría interna, mejores prácticas, mentorización"
Software Engineering,IT Operations Director,12-18,"Dirección de operaciones IT, estrategia de sistemas, gestión presupuestaria, gobierno de infraestructura, continuidad de negocio"

# Software Engineering - Test Automation Engineer
Software Engineering,Test Automation Engineer Trainee,0-1,"Fundamentos de testing, automatización básica, uso de frameworks simples, scripts básicos, conceptos de CI, reporte de defectos"
